0,540,152,540,152,555,0,555
0,423,89,423,89,437,0,437
115,285,207,286,206,300,115,299
0,558,234,558,234,574,0,574
0,130,143,130,143,145,0,145
0,51,243,51,243,67,0,67
0,286,26,286,26,299,0,299
287,324,333,324,333,337,287,337
0,111,342,111,342,126,0,126
0,188,333,187,333,204,0,205
0,325,71,325,71,339,0,339
0,150,207,150,207,166,0,166
0,598,152,598,152,613,0,613
0,72,207,71,207,85,0,86
0,266,89,266,89,281,0,281
0,169,225,169,225,185,0,185
0,384,107,383,107,397,0,398
0,208,198,207,198,222,0,222
233,247,270,247,270,260,233,260
287,344,333,344,333,357,287,357
52,246,89,246,89,261,52,261
115,247,216,246,216,260,115,260
169,500,243,500,243,514,169,514
224,286,306,286,306,299,224,299
287,382,333,382,333,396,287,396
0,91,324,91,324,106,0,106
0,462,71,462,71,475,0,475
278,422,333,422,333,435,278,435
0,500,152,500,152,514,0,514
0,344,98,344,98,358,0,358
